사업장명,도로명전체주소,위생업태명,영업장주변구분명,시설총규모,위도,경도
신세계,대전광역시 중구 대흥로 9 (문화동),룸살롱,유흥업소밀집지역,162.98,36.3238249,127.4266645
대림,"대전광역시 유성구 계룡로105번길 74, 지상1층 (봉명동)",룸살롱,,172.29,36.3566,127.3441
오케이(O.K)노래,"대전광역시 중구 중앙로130번길 24 (대흥동,(지하))",노래클럽,,175.89,36.3271322,127.424748
에스,대전광역시 대덕구 신탄진로810번길 15 (신탄진동),룸살롱,,224.97,36.4504391,127.4327313
진선미,대전광역시 대덕구 신탄진동로23번길 51 (신탄진동),룸살롱,유흥업소밀집지역,131.6,36.4500892,127.4312395
인스타,"대전광역시 유성구 온천북로 8 (봉명동, 지하1층)",룸살롱,,572.97,36.3567849,127.3467595
에쎄,대전광역시 대덕구 신탄진동로23번길 48 (신탄진동),룸살롱,유흥업소밀집지역,147.17,36.4494771,127.4315036
놀빠,"대전광역시 대덕구 대청로 8, 2층 (신탄진동)",노래클럽,유흥업소밀집지역,135.36,36.4643433,127.4664969
공주투,"대전광역시 대덕구 신탄진로790번길 38, 2층 (신탄진동)",룸살롱,유흥업소밀집지역,220.25,36.4486177,127.433202
샤넬cc,"대전광역시 유성구 계룡로105번길 27, 5층 (봉명동)",룸살롱,유흥업소밀집지역,182.4,36.3549,127.3428
작업실,대전광역시 유성구 온천서로 26 (봉명동),룸살롱,,340.68,36.3573221,127.3394849
렉서스 가요주점,"대전광역시 유성구 계룡로105번길 27, 지상3층 (봉명동)",룸살롱,,137.04,36.3549,127.3428
빙글빙글,"대전광역시 대덕구 신탄진로790번길 38, 지하층 (신탄진동)",룸살롱,유흥업소밀집지역,133.2,36.4486177,127.433202
붕붕,"대전광역시 유성구 온천서로 30, 5층 (봉명동)",룸살롱,유흥업소밀집지역,279.66,36.3570215,127.3399155
황금연못,대전광역시 동구 중앙로203번길 26 (중동),룸살롱,기타,122.55,36.3328297,127.4303256
빙고,대전광역시 유성구 계룡로105번길 27 (봉명동),룸살롱,유흥업소밀집지역,157.68,36.3549,127.3428
애마야,대전광역시 유성구 온천서로 26 (봉명동),룸살롱,,317.99,36.3573221,127.3394849
휠링,대전광역시 유성구 온천서로 26 (봉명동),룸살롱,유흥업소밀집지역,331.26,36.3573221,127.3394849
도깨비,대전광역시 유성구 온천서로 26 (봉명동),룸살롱,,325.81,36.3573221,127.3394849
미시가요주점,"대전광역시 대덕구 신탄진동로23번길 39, 지하층 (신탄진동)",룸살롱,,166.41,36.44953995,127.4313443
두꺼비,"대전광역시 서구 계룡로636번길 14-27, 지하1층 (용문동)",룸살롱,기타,152.94,36.3394122,127.3907908
비지니스노래궁,"대전광역시 대덕구 신탄진로810번길 12, 지하층 (신탄진동)",룸살롱,,172.97,36.4497745,127.4299137
라인,"대전광역시 유성구 온천서로 22, 지상4층 (봉명동)",룸살롱,,127.14,36.3573221,127.3394849
페리,대전광역시 대덕구 중리로21번길 11 (중리동),룸살롱,,145.54,36.3619512,127.4248381
베르사체,"대전광역시 유성구 계룡로123번길 63, 지하1층 (봉명동)",룸살롱,유흥업소밀집지역,282.09,36.3549374,127.3450624
헤라,대전광역시 유성구 온천서로 8-13 (봉명동),기타,유흥업소밀집지역,132.2,36.3573221,127.3394849
에쿠스,대전광역시 동구 동서대로1695번길 71 (용전동),룸살롱,유흥업소밀집지역,223.19,36.3531482,127.4371511
스마트,대전광역시 동구 동서대로1695번길 106 (용전동),룸살롱,유흥업소밀집지역,92.44,36.3531482,127.4371511
부킹가요주점,"대전광역시 중구 중앙로122번길 38 (대흥동,(지하))",노래클럽,유흥업소밀집지역,229.66,36.3268313,127.4239392
에이스 노래클럽,"대전광역시 서구 도산로369번길 12 (용문동,1층)",룸살롱,,86.84,36.3389863,127.3902156
발렌타인,"대전광역시 유성구 온천로 22, 3층 (봉명동)",룸살롱,유흥업소밀집지역,131.56,36.3549374,127.3450624
파도,"대전광역시 유성구 온천서로 14, 지하1층 (봉명동)",기타,유흥업소밀집지역,83.57,36.3573221,127.3394849
8주점,"대전광역시 중구 대종로529번길 41, 지하1층 (선화동)",룸살롱,기타,108.6,36.3302493,127.4220182
한국관나이트클럽,"대전광역시 중구 계백로 1719 (오류동,(지하))",관광호텔나이트(카바레),,927.81,36.3162871,127.3894402
물안개가요주점,"대전광역시 대덕구 신탄진동로7번길 23, 2층 (신탄진동)",룸살롱,아파트지역,76.68,36.449223,127.4299318
조선,대전광역시 유성구 온천로 2 (봉명동),기타,유흥업소밀집지역,155.68,36.3549374,127.3450624
으뜸원나이트,대전광역시 동구 동서대로1683번길 76-8 (용전동),고고(디스코)클럽,,1345.89,36.3524766,127.435556
이백,"대전광역시 유성구 온천북로 8, 지상2층 (봉명동)",룸살롱,,245.56,36.3567849,127.3467595
발리,"대전광역시 유성구 온천서로 22, 지상3층 (봉명동)",기타,유흥업소밀집지역,183.86,36.3573221,127.3394849
예원,"대전광역시 중구 대흥로165번길 25 (대흥동,,2 (지하))",비어(바)살롱,,87.88,36.3258287,127.429728
글램,"대전광역시 유성구 계룡로105번길 68, 지상1층 (봉명동)",기타,,294.04,36.3563,127.3439
천지,대전광역시 서구 용문로 65 (용문동),룸살롱,,122.49,36.3386328,127.3897359
신세계,"대전광역시 유성구 계룡로105번길 68, 2층 (봉명동)",기타,,566.7,36.3563,127.3439
라이브초이스노래,"대전광역시 중구 중앙로137번길 39 (선화동,(지하))",비어(바)살롱,,98.33,36.3296795,127.4237497
칠공구공추억으로,"대전광역시 중구 선화로119번길 19 (선화동,,17 (지하))",노래클럽,유흥업소밀집지역,114.12,36.3313023,127.4198632
올레,"대전광역시 서구 계룡로620번길 33, 지하1층 (용문동)",룸살롱,,179.88,36.3387466,127.3900774
레깅스,"대전광역시 대덕구 중리로 9, 지하층 (중리동)",카바레,,103.48,36.3629452,127.4252219
금비노래,"대전광역시 대덕구 중리로 12, 지하층 (중리동)",룸살롱,,117.34,36.3629452,127.4252219
앗싸노래주점,"대전광역시 대덕구 한밭대로1129번길 24, 지하층 (중리동)",기타,유흥업소밀집지역,110.09,36.3619269,127.4238253
땡큐,"대전광역시 중구 대종로386번길 97 (문창동,(지하))",노래클럽,기타,95.4,36.3207914,127.4337158
메이드,"대전광역시 유성구 온천로 44, 지상3층 (봉명동)",카바레,,196.75,36.3549374,127.3450624
오비클럽,"대전광역시 중구 당디로 111 (유천동,(지하))",비어(바)살롱,,737.13,36.3083824,127.3936335
명품,대전광역시 대덕구 신탄진동로7번길 42 (신탄진동),룸살롱,기타,127.43,36.4494079,127.4299904
강남,"대전광역시 대덕구 신탄진동로7번길 59, 1층 (신탄진동)",룸살롱,,99.82,36.449223,127.4299318
오작교,"대전광역시 중구 당디로 122 (유천동,(1층))",기타,유흥업소밀집지역,22.35,36.3083824,127.3936335
휠가요주점,"대전광역시 대덕구 중리로21번길 23, 지하층 (중리동)",룸살롱,유흥업소밀집지역,73.9,36.3619512,127.4248381
비타민,"대전광역시 중구 당디로124번길 6 (유천동,(1층))",기타,유흥업소밀집지역,39.36,36.3162468,127.3926726
금강산,"대전광역시 서구 도산로 지하 185 (변동,외 3필지(11,14,17))",룸살롱,,578.62,36.3357379,127.3898925
황궁유흥주점,"대전광역시 유성구 계룡로66번길 16, 지하1층 (봉명동)",기타,유흥업소밀집지역,145.89,36.353696,127.3379269
파트너,"대전광역시 중구 계룡로882번길 16 (오류동,(지하))",비어(바)살롱,유흥업소밀집지역,45.04,36.3214909,127.4065376
블루문가요주점,대전광역시 대덕구 신탄진동로 지하 27 (신탄진동),카바레,학교정화(상대),84.43,36.4475384,127.4304288
폭스,"대전광역시 중구 당디로124번길 34 (유천동,(1층))",기타,유흥업소밀집지역,73.78,36.3162468,127.3926726
노블레스,대전광역시 유성구 계룡로105번길 68 (봉명동),기타,,265.06,36.3563,127.3439
파라다이스,대전광역시 서구 둔산로137번길 18 (둔산동),룸살롱,,209.7,36.3524374,127.3892586
나비,"대전광역시 유성구 계룡로141번길 29-12, 지하1층 (봉명동)",룸살롱,,193.23,36.3538733,127.346488
킹,"대전광역시 서구 둔산로137번길 27 (둔산동,지하 1층)",룸살롱,,239.59,36.3524374,127.3892586
써클,대전광역시 서구 둔산중로46번길 30 (둔산동),스텐드바,,1562.89,36.3507634,127.388891
금강산,대전광역시 서구 월평북로 88-16 (월평동),룸살롱,,139.23,36.3611899,127.3781874
