사업장명,도로명전체주소,위생업태명,영업장주변구분명,시설총규모,위도,경도
느낌이좋아,"대전광역시 서구 둔산로 246, 지하1층 (둔산동)",단란주점,,35.06,36.3513193,127.388865
퀸,대전광역시 대덕구 신탄진동로7번길 19 (신탄진동),단란주점,,47.58,36.449223,127.4299318
에스바,"대전광역시 서구 정림로66번길 3 (정림동,지하1층)",단란주점,,88.6,36.3065486,127.366367
키스,"대전광역시 서구 변동로 61, 지하1층 (변동)",단란주점,기타,109.6,36.3256801,127.3784464
춘향이7080,"대전광역시 서구 도산로 82 (도마동,지하1층)",단란주점,기타,89.97,36.3357379,127.3898925
브이아이피,"대전광역시 서구 월평중로 4-1 (월평동,지하1층)",단란주점,주택가주변,59.81,36.3543921,127.3639662
해금단란주점,대전광역시 유성구 계룡로88번길 46 (봉명동),단란주점,주택가주변,130.79,36.3519125,127.3396212
키스,"대전광역시 서구 신갈마로 143 (갈마동,지하1층)",단란주점,,93.94,36.3550628,127.3683653
길벗,대전광역시 대덕구 신탄진로810번길 34 (신탄진동),단란주점,,115.26,36.45000685,127.431095
터치,"대전광역시 중구 대흥로175번길 5, 2층 (대흥동)",단란주점,,116.23,36.326215,127.4307624
카스광장,"대전광역시 서구 도산로 111 (도마동,지하1층)",단란주점,,114.44,36.3357379,127.3898925
제우스,대전광역시 유성구 유성대로694번길 79 (봉명동),단란주점,유흥업소밀집지역,132.21,36.3544,127.3359
귀궁단란주점,대전광역시 유성구 어은로48번길 17 (어은동),단란주점,,68.82,36.362877,127.3576297
호박7080,대전광역시 중구 보문로262번길 44 (대흥동),단란주점,,60.92,36.3264689,127.422966
예성 단란주점,대전광역시 유성구 온천서로 22-3 (봉명동),단란주점,유흥업소밀집지역,121.85,36.3573221,127.3394849
휠,"대전광역시 유성구 어은로51번길 47, 지하1층 (어은동)",단란주점,,63.31,36.3621698,127.3549396
카카오노래클럽,대전광역시 유성구 대학로155번길 24 (궁동),단란주점,,73.4,36.3628287,127.350677
호,"대전광역시 서구 월평중로 7-1 (월평동,지하1층)",단란주점,,82.21,36.3543921,127.3639662
장터,"대전광역시 서구 변동로 70-3 (변동,지하1층)",단란주점,,113.73,36.3256801,127.3784464
올래,"대전광역시 서구 월평중로 7 (월평동,지하1층)",단란주점,,52.2,36.3543921,127.3639662
신바람단란주점,"대전광역시 서구 신갈마로 158 (갈마동,(지하1층))",단란주점,,104.45,36.3550628,127.3683653
카라노래주점,대전광역시 유성구 장대로 40 (장대동),단란주점,,114.36,36.3569572,127.3376849
쏠져2단란주점,대전광역시 유성구 계룡로141번길 35 (봉명동),단란주점,유흥업소밀집지역,83.95,36.3538733,127.346488
오페라,대전광역시 유성구 계룡로 44 (봉명동),단란주점,유흥업소밀집지역,105.78,36.3558506,127.3341417
아우라술마시는노래주점,대전광역시 중구 수침로55번길 49 (태평동),단란주점,,84.02,36.3251405,127.3990614
썸,대전광역시 중구 중앙로16번길 30 (문화동),단란주점,,86.5,36.3209399,127.4147483
청맥,"대전광역시 서구 가수원로 106 (가수원동,지하1층)",단란주점,,62.56,36.2978527,127.3531963
꿈결노래바,대전광역시 유성구 대학로 181 (궁동),단란주점,유흥업소밀집지역,96.68,36.3608144,127.3440842
주홍글씨단란주점,대전광역시 동구 대전로 849-4 (정동),단란주점,,100.82,36.3260032,127.4362296
친구단란주점,대전광역시 유성구 온천서로 12 (봉명동),단란주점,유흥업소밀집지역,70.47,36.3573221,127.3394849
카사노바7080라이브,"대전광역시 대덕구 중리로 47, 지하1층 (중리동)",단란주점,,85.1,36.3629452,127.4252219
팡팡노래마당,대전광역시 대덕구 대전로 1359 (읍내동),단란주점,,85.07,36.3594853,127.4157548
땡글노래주점,"대전광역시 대덕구 한밭대로1129번길 32, 지하층 (중리동)",단란주점,,118.98,36.3619269,127.4238253
홈런단란주점,대전광역시 유성구 장대로 41 (장대동),단란주점,,77.64,36.3569572,127.3376849
오렌지노래주점,대전광역시 중구 대흥로 11 (문화동),단란주점,,96.66,36.3238249,127.4266645
만남부킹클럽,"대전광역시 중구 중교로 73, 지하1층 (은행동)",단란주점,,75.15,36.3258958,127.4254577
카스광장단란주점,대전광역시 중구 계백로 1685 (오류동),단란주점,,86.98,36.3162871,127.3894402
가보자7080,대전광역시 중구 대흥로165번길 41 (대흥동),단란주점,유흥업소밀집지역,108.55,36.3258287,127.429728
으라차차,"대전광역시 중구 중앙로 21, 지하 3호 (용두동,무궁화백화점)",단란주점,,134.12,36.323002,127.4165941
별밤7080,"대전광역시 대덕구 오정로 7, 지하층 (오정동)",단란주점,,115.45,36.3532242,127.4096988
