사업장명,도로명전체주소,위생업태명,양실수,한실수,위도,경도
모텔 하니,"대전광역시 서구 월평북로 88-16, 4,5층 (월평동)",여관업,21,0,36.3611899,127.3781874
호텔마이스테이,대전광역시 중구 중교로 10 (대흥동),여관업,23,0,36.3258958,127.4254577
호텔인터시티,대전광역시 유성구 온천로 92 (봉명동),관광호텔,197,2,36.3549374,127.3450624
호텔카카오2호점,대전광역시 서구 용문로 53 (괴정동),여관업,23,2,36.3386328,127.3897359
프로방스모텔,대전광역시 중구 대둔산로 471 (산성동),여관업,12,8,36.2815663,127.3757249
자자,대전광역시 서구 계룡로620번길 33 (용문동),여관업,35,1,36.3387466,127.3900774
호텔어반브라운,대전광역시 대덕구 한밭대로1149번길 15-11 (중리동),여관업,30,3,36.3597893,127.4262945
호텔컨티뉴대전점,대전광역시 서구 월평로 53-9 (월평동),여관업,43,0,36.3571791,127.3630649
블랑365,대전광역시 대덕구 한밭대로1149번길 15-9 (중리동),여관업,24,5,36.3597893,127.4262945
아우디모텔,대전광역시 대덕구 신탄진로810번길 46 (신탄진동),여관업,25,1,36.4504391,127.4327313
란모텔,대전광역시 대덕구 중리로7번길 14-10 (중리동),여관업,24,2,36.3597079,127.4230059
평안장여관,대전광역시 중구 유등천동로324번길 60 (유천동),여관업,19,0,36.3126211,127.3886885
루바토(RUBATO),대전광역시 유성구 온천서로 30-5 (봉명동),여관업,25,10,36.3573221,127.3394849
로얄파크,대전광역시 중구 대둔산로 497 (유천동),여관업,19,4,36.2966468,127.3851867
올리브모텔,대전광역시 서구 용문로 41-30 (괴정동),여관업,32,0,36.3386328,127.3897359
케이비모텔,대전광역시 동구 동서대로1705번길 58-18 (용전동),여관업,40,0,36.3516151,127.4380483
모텔카카오,대전광역시 서구 계룡로620번길 49 (용문동),여관업,28,0,36.3389863,127.3902156
보령모텔,대전광역시 동구 한밭대로1316번길 43 (용전동),여관업,34,4,36.3515188,127.439411
청실모텔,대전광역시 대덕구 한밭대로1129번길 26 (중리동),여관업,20,3,36.3619269,127.4238253
로얄파크,대전광역시 대덕구 신탄진로796번길 52 (신탄진동),여관업,23,3,36.4491868,127.4330504
보보스모텔,대전광역시 서구 용문로 41-54 (괴정동),여관업,30,2,36.3368658,127.3927837
탑클라우드호텔대전점,대전광역시 유성구 온천로101번길 20 (봉명동),여관업,48,0,36.3546839,127.3491133
이담모텔,대전광역시 동구 한밭대로1314번길 9-1 (용전동),여관업,18,4,36.3518336,127.4387232
보보스,대전광역시 유성구 계룡로155번길 40 (봉명동),여관업,25,8,36.353228,127.3479079
대명모텔,대전광역시 유성구 계룡로87번길 59 (봉명동),여관업,18,6,36.3557237,127.3411667
호텔버스,대전광역시 중구 계룡로921번길 16 (대사동),여관업,32,0,36.3215901,127.4170441
동양파크,대전광역시 서구 도마1길 29 (도마동),여관업,15,3,36.314,127.3811
궁전모텔,대전광역시 중구 계룡로882번길 105 (오류동),여관업,24,0,36.3214909,127.4065376
태광파크,대전광역시 유성구 계룡로74번길 13-6 (봉명동),여관업,20,8,36.3522697,127.3382961
스테이큐용문,대전광역시 서구 계룡로636번길 14-15 (용문동),여관업,23,0,36.3394122,127.3907908
콩모텔유천점,대전광역시 중구 문화로87번길 60 (유천동),여관업,27,0,36.3141245,127.3945863
아트호텔,대전광역시 유성구 온천서로 32-12 (봉명동),여관업,33,0,36.3573221,127.3394849
리슈모텔,대전광역시 중구 유천로33번길 68 (유천동),여관업,18,0,36.3147683,127.3950511
맥(MAC),대전광역시 서구 계룡로636번길 14-17 (용문동),여관업,24,4,36.3394122,127.3907908
다복파크,대전광역시 유성구 계룡로74번길 13-8 (봉명동),여관업,18,2,36.3522697,127.3382961
500th모텔,대전광역시 대덕구 신탄진로810번길 56 (신탄진동),여관업,22,1,36.4504391,127.4327313
코자자,대전광역시 중구 유천로17번안길 36 (유천동),여관업,28,0,36.3147438,127.3921103
호텔비앤비,대전광역시 유성구 온천북로 62 (봉명동),여관업,28,4,36.3567849,127.3467595
비앤비호텔,"대전광역시 중구 대흥로157번길 28, 3층 일부~9층 (대흥동)",여관업,36,0,36.326417,127.428361
모아파크,대전광역시 유성구 계룡로141번길 29-12 (봉명동),여관업,24,8,36.3538733,127.346488
더휴식아늑 유성1호점,대전광역시 유성구 계룡로123번길 38 (봉명동),일반호텔,27,8,36.3549374,127.3450624
시애틀모텔,대전광역시 동구 동서대로1683번길 58 (용전동),여관업,24,8,36.3524766,127.435556
스위트모텔,대전광역시 동구 동서대로1683번길 56-11 (용전동),여관업,22,6,36.3524766,127.435556
쉼,대전광역시 동구 계족로392번길 113 (가양동),여관업,16,3,36.3481375,127.4365997
더봄호텔,대전광역시 서구 용문로 45 (괴정동),여관업,24,4,36.3368658,127.3927837
JNK(제이앤케이)모텔,대전광역시 서구 계룡로620번길 32 (괴정동),여관업,28,4,36.3389863,127.3902156
드메르호텔,대전광역시 유성구 온천서로 30-19 (봉명동),일반호텔,30,10,36.3573221,127.3394849
케이세븐피씨(K7PC)호텔,대전광역시 유성구 계룡로87번길 65 (봉명동),여관업,31,2,36.3557237,127.3411667
엘오디호텔,대전광역시 유성구 온천서로 30-15 (봉명동),여관업,36,6,36.3573221,127.3394849
수라모텔,대전광역시 중구 유천로17번안길 42 (유천동),여관업,17,1,36.3147438,127.3921103
비엔나모텔,대전광역시 유성구 계룡로141번길 13-17 (봉명동),여관업,36,12,36.3538733,127.346488
남성장여관,대전광역시 동구 창조3길 18 (원동),여인숙업,7,2,36.3281325,127.4359107
호텔 본,대전광역시 동구 동서대로1683번길 84 (용전동),여관업,34,3,36.3524766,127.435556
만년모텔,대전광역시 대덕구 중리로7번길 6-14 (중리동),여관업,19,3,36.3597079,127.4230059
보람파크,대전광역시 대덕구 신탄진로810번길 31 (신탄진동),여관업,10,5,36.4504391,127.4327313
호텔야자 대전터미널점,대전광역시 동구 한밭대로1316번길 16 (용전동),여관업,31,4,36.3515188,127.439411
